Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1978,0.07,0.02,0.11,-0.03,0.08,0.16,-0.16,0.04,-0.04,0.1,0.05,0.21,0.13,0.03
1979,0.16,0.08,0.24,-0.03,0.26,0.23,-0.61,0.07,0.09,0.26,0.27,0.29,0.33,-0.21
1980,0.26,0.17,0.35,0.06,0.31,0.39,0.25,0.02,0.02,0.33,0.28,0.35,0.37,0.57
1981,0.32,0.37,0.27,0.48,0.18,0.35,1.09,0.78,0.09,0.22,0.14,0.28,0.39,0.57
1982,0.14,0.05,0.22,-0.08,0.27,0.18,-0.4,0.09,-0.08,0.25,0.29,0.18,0.32,-0.12
1983,0.31,0.25,0.37,0.22,0.43,0.23,0.19,0.69,-0.06,0.29,0.57,0.21,0.41,-0.03
1984,0.15,0.04,0.27,0.02,0.18,0.25,0.37,0.08,-0.13,0.07,0.29,0.16,0.32,0.46
1985,0.11,0,0.23,-0.03,0.09,0.29,0.39,-0.26,-0.01,0.04,0.14,0.29,0.44,0
1986,0.18,0.13,0.23,0.11,0.22,0.2,0.01,0.28,0.03,0.17,0.27,0.25,0.25,-0.09
1987,0.32,0.25,0.4,0.04,0.58,0.25,-0.36,0.13,0.12,0.55,0.62,0.32,0.25,0
1988,0.38,0.37,0.4,0.4,0.37,0.38,0.57,0.57,0.24,0.32,0.42,0.38,0.2,0.78
1989,0.27,0.27,0.27,0.41,0.13,0.33,0.32,0.69,0.26,0.06,0.19,0.36,0.3,0.28
1990,0.45,0.53,0.37,0.63,0.37,0.38,0.58,0.88,0.49,0.38,0.36,0.37,0.37,0.4
1991,0.4,0.41,0.39,0.47,0.36,0.39,0.76,0.66,0.26,0.32,0.4,0.31,0.29,0.9
1992,0.22,0.14,0.3,0.1,0.28,0.26,-0.16,0.44,-0.03,0.19,0.36,0.2,0.33,0.32
1993,0.23,0.19,0.27,0.13,0.31,0.21,0.55,0.29,-0.11,0.28,0.34,0.26,0.39,-0.34
1994,0.31,0.38,0.25,0.44,0.31,0.19,0.35,0.5,0.43,0.28,0.33,0.26,0.23,-0.16
1995,0.45,0.58,0.32,0.7,0.42,0.23,1.31,0.98,0.32,0.41,0.44,0.28,0.15,0.2
1996,0.33,0.27,0.39,0.23,0.32,0.44,0.78,0.17,0.11,0.32,0.32,0.32,0.29,1.22
1997,0.47,0.52,0.42,0.54,0.51,0.34,0.75,0.9,0.23,0.51,0.52,0.42,0.37,0.02
1998,0.61,0.71,0.52,0.79,0.69,0.33,0.87,0.94,0.66,0.59,0.79,0.39,0.32,0.2
1999,0.38,0.48,0.28,0.71,0.2,0.31,0.41,0.8,0.74,0.16,0.25,0.46,0.19,0.02
2000,0.39,0.5,0.28,0.7,0.24,0.29,0.97,0.8,0.56,0.2,0.27,0.41,0.1,0.3
2001,0.53,0.64,0.43,0.81,0.41,0.43,1.07,0.86,0.69,0.4,0.43,0.58,0.24,0.32
2002,0.62,0.71,0.53,0.83,0.58,0.46,1.25,1,0.58,0.54,0.62,0.49,0.32,0.7
2003,0.62,0.75,0.49,0.84,0.63,0.38,1.5,0.98,0.54,0.6,0.65,0.44,0.24,0.47
